property_id,address,price,consensus_score,sentiment,market_intelligence,updated_at
0,,,,,,2026-01-05T16:31:26.408797
1,,,,,,2026-01-05T16:31:26.408797
2,,,,,,2026-01-05T16:31:26.408797
3,,,,,,2026-01-05T16:31:26.408797
4,,,,,,2026-01-05T16:31:26.408797
5,,,,,,2026-01-05T16:31:26.408797
6,,,,,,2026-01-05T16:31:26.408797
7,,,,,,2026-01-05T16:31:26.408797
8,,,,,,2026-01-05T16:31:26.408797
9,,,,,,2026-01-05T16:31:26.408797
10,,,,,,2026-01-05T16:31:26.408797
11,,,,,,2026-01-05T16:31:26.408797
12,,,,,,2026-01-05T16:31:26.408797
13,,,,,,2026-01-05T16:31:26.408797
14,,,,,,2026-01-05T16:31:26.408797
15,,,,,,2026-01-05T16:31:26.408797
16,,,,,,2026-01-05T16:31:26.408797
17,,,,,,2026-01-05T16:31:26.408797
18,,,,,,2026-01-05T16:31:26.408797
19,,,,,,2026-01-05T16:31:26.408797
20,,,,,,2026-01-05T16:31:26.408797
21,,,,,,2026-01-05T16:31:26.408797
22,,,,,,2026-01-05T16:31:26.408797
23,,,,,,2026-01-05T16:31:26.408797
24,,,,,,2026-01-05T16:31:26.408797
25,,,,,,2026-01-05T16:31:26.408797
26,,,,,,2026-01-05T16:31:26.408797
27,,,,,,2026-01-05T16:31:26.408797
28,,,,,,2026-01-05T16:31:26.408797
29,,,,,,2026-01-05T16:31:26.408797
30,,,,,,2026-01-05T16:31:26.408797
31,,,,,,2026-01-05T16:31:26.408797
32,,,,,,2026-01-05T16:31:26.408797
33,,,,,,2026-01-05T16:31:26.408797
34,,,,,,2026-01-05T16:31:26.408797
35,,,,,,2026-01-05T16:31:26.408797
36,,,,,,2026-01-05T16:31:26.408797
37,,,,,,2026-01-05T16:31:26.408797
38,,,,,,2026-01-05T16:31:26.408797
39,,,,,,2026-01-05T16:31:26.408797
40,,,,,,2026-01-05T16:31:26.408797
41,,,,,,2026-01-05T16:31:26.408797
42,,,,,,2026-01-05T16:31:26.408797
43,,,,,,2026-01-05T16:31:26.408797
44,,,,,,2026-01-05T16:31:26.408797
45,,,,,,2026-01-05T16:31:26.408797
46,,,,,,2026-01-05T16:31:26.408797
47,,,,,,2026-01-05T16:31:26.408797
48,,,,,,2026-01-05T16:31:26.408797
49,,,,,,2026-01-05T16:31:26.408797
50,,,,,,2026-01-05T16:31:26.408797
51,,,,,,2026-01-05T16:31:26.408797
52,,,,,,2026-01-05T16:31:26.408797
53,,,,,,2026-01-05T16:31:26.408797
54,,,,,,2026-01-05T16:31:26.408797
55,,,,,,2026-01-05T16:31:26.408797
56,,,,,,2026-01-05T16:31:26.408797
57,,,,,,2026-01-05T16:31:26.408797
58,,,,,,2026-01-05T16:31:26.408797
59,,,,,,2026-01-05T16:31:26.408797
60,,,,,,2026-01-05T16:31:26.408797
61,,,,,,2026-01-05T16:31:26.408797
62,,,,,,2026-01-05T16:31:26.408797
63,,,,,,2026-01-05T16:31:26.408797
64,,,,,,2026-01-05T16:31:26.408797
65,,,,,,2026-01-05T16:31:26.408797
66,,,,,,2026-01-05T16:31:26.408797
67,,,,,,2026-01-05T16:31:26.408797
68,,,,,,2026-01-05T16:31:26.408797
69,,,,,,2026-01-05T16:31:26.408797
70,,,,,,2026-01-05T16:31:26.408797
71,,,,,,2026-01-05T16:31:26.408797
72,,,,,,2026-01-05T16:31:26.408797
73,,,,,,2026-01-05T16:31:26.408797
74,,,,,,2026-01-05T16:31:26.408797
75,,,,,,2026-01-05T16:31:26.408797
76,,,,,,2026-01-05T16:31:26.408797
77,,,,,,2026-01-05T16:31:26.408797
78,,,,,,2026-01-05T16:31:26.408797
79,,,,,,2026-01-05T16:31:26.408797
80,,,,,,2026-01-05T16:31:26.408797
81,,,,,,2026-01-05T16:31:26.408797
82,,,,,,2026-01-05T16:31:26.408797
83,,,,,,2026-01-05T16:31:26.408797
84,,,,,,2026-01-05T16:31:26.408797
85,,,,,,2026-01-05T16:31:26.408797
86,,,,,,2026-01-05T16:31:26.408797
87,,,,,,2026-01-05T16:31:26.408797
88,,,,,,2026-01-05T16:31:26.408797
89,,,,,,2026-01-05T16:31:26.408797
90,,,,,,2026-01-05T16:31:26.408797
91,,,,,,2026-01-05T16:31:26.408797
92,,,,,,2026-01-05T16:31:26.408797
93,,,,,,2026-01-05T16:31:26.408797
94,,,,,,2026-01-05T16:31:26.408797
95,,,,,,2026-01-05T16:31:26.408797
96,,,,,,2026-01-05T16:31:26.408797
97,,,,,,2026-01-05T16:31:26.408797
98,,,,,,2026-01-05T16:31:26.408797
99,,,,,,2026-01-05T16:31:26.408797
100,,,,,,2026-01-05T16:31:26.408797
101,,,,,,2026-01-05T16:31:26.408797
102,,,,,,2026-01-05T16:31:26.408797
103,,,,,,2026-01-05T16:31:26.408797
104,,,,,,2026-01-05T16:31:26.408797
105,,,,,,2026-01-05T16:31:26.408797
106,,,,,,2026-01-05T16:31:26.408797
107,,,,,,2026-01-05T16:31:26.408797
108,,,,,,2026-01-05T16:31:26.408797
109,,,,,,2026-01-05T16:31:26.408797
110,,,,,,2026-01-05T16:31:26.408797
111,,,,,,2026-01-05T16:31:26.408797
112,,,,,,2026-01-05T16:31:26.408797
113,,,,,,2026-01-05T16:31:26.408797
114,,,,,,2026-01-05T16:31:26.408797
115,,,,,,2026-01-05T16:31:26.408797
116,,,,,,2026-01-05T16:31:26.408797
117,,,,,,2026-01-05T16:31:26.408797
118,,,,,,2026-01-05T16:31:26.408797
119,,,,,,2026-01-05T16:31:26.408797
120,,,,,,2026-01-05T16:31:26.408797
121,,,,,,2026-01-05T16:31:26.408797
122,,,,,,2026-01-05T16:31:26.408797
123,,,,,,2026-01-05T16:31:26.408797
124,,,,,,2026-01-05T16:31:26.408797
125,,,,,,2026-01-05T16:31:26.408797
126,,,,,,2026-01-05T16:31:26.408797
127,,,,,,2026-01-05T16:31:26.408797
128,,,,,,2026-01-05T16:31:26.408797
129,,,,,,2026-01-05T16:31:26.408797
